"ID","City","State",,,,,"States - Other"
"[1173] =","Bableshwar","Karnataka - Other",,,,,
"[1174] =","Badagon","Uttar Pradesh - Other",,,,,
"[1175] =","Badami","Karnataka - Other",,,,,
"[1176] =","Badaun","Uttar Pradesh - Other",,,,,
"[1177] =","Badkot","Uttarakhand - Other",,,,,
"[971] =","Badnera","Maharashtra - Other",,,,,
"[1178] =","Badvel","Andhra Pradesh - Other",,,,,
"[799] =","Bagalkot","Karnataka - Other",,,,,
"[1179] =","Bagar","Rajasthan - Other",,,,,
"[1180] =","Bagbahara","Chhattisgarh - Other",,,,,
"[1181] =","Bagepalli","Karnataka - Other",,,,,
"[1182] =","Bageshwar","Uttarakhand - Other",,,,,
"[1183] =","Bagewadi","Karnataka - Other",,,,,
"[740] =","Bagha","Punjab - Other",,,,,
"[1184] =","Baghmara","Meghalaya - Other",,,,,
"[1185] =","Bagpat","Uttar Pradesh - Other",,,,,
"[1186] =","Bahadurganj","Bihar - Other",,,,,
"[769] =","Bahadurgarh","Haryana - Other",,,,,
"[1187] =","Baheri","Uttar Pradesh - Other",,,,,
"[46] =","Bahgalpur","Bihar - Other",,,,,
"[1188] =","Bahinsa","Andhra Pradesh - Other",,,,,
"[1189] =","Bahraich","Uttar Pradesh - Other",,,,,
"[1190] =","Baihata Chariali","Assam - Other",,,,,
"[1191] =","Baikunthpur","Bihar - Other",,,,,
"[1192] =","Bailhongal","Karnataka - Other",,,,,
"[1193] =","Bakhtiarpur","Bihar - Other",,,,,
"[1194] =","Bakhtiyarpur","Bihar - Other",,,,,
"[1195] =","Bakuchi","Uttar Pradesh - Other",,,,,
"[1196] =","Bakulaharmath","All over India",,,,,
"[1197] =","Balaghat","Madhya Pradesh - Other",,,,,
"[1198] =","Balarbhita","Assam - Other",,,,,
"[1089] =","Balasore","Orissa - Other",,,,,
"[1199] =","Balijapeta","Andhra Pradesh - Other",,,,,
"[972] =","Ballabhgarh","Haryana - Other",,,,,
"[1200] =","Ballare","Karnataka - Other",,,,,
"[1201] =","Ballarpur","Maharashtra - Other",,,,,
"[1202] =","Ballary","Karnataka - Other",,,,,
"[1203] =","Ballia","Uttar Pradesh - Other",,,,,
"[1204] =","Balod","Chhattisgarh - Other",,,,,
"[1205] =","Balodabazar","Chhattisgarh - Other",,,,,
"[1206] =","Balrampur","Uttar Pradesh - Other",,,,,
"[1207] =","Balsore","Orissa - Other",,,,,
"[1208] =","Banahatti","Karnataka - Other",,,,,
"[760] =","Banaskantha","Gujarat - Other",,,,,
"[884] =","Banda","Uttar Pradesh - Other",,,,,
"[1209] =","Bandalaguda Mandal","Andhra Pradesh - Other",,,,,
"[10240] =","Bangalore Rural","Karnataka - Other",,,,,
"[1210] =","Bangarpet","Karnataka - Other",,,,,
"[1211] =","Banka","Bihar - Other",,,,,
"[1212] =","Bankipore","Bihar - Other",,,,,
"[973] =","Bankura","West Bengal - Other",,,,,
"[818] =","Bannur","Karnataka - Other",,,,,
"[1213] =","Banswara","Rajasthan - Other",,,,,
"[1214] =","Bantma","All over India",,,,,
"[1215] =","Bantwal","Karnataka - Other",,,,,
"[717] =","Bapatla","Andhra Pradesh - Other",,,,,
"[1216] =","Barabanki","Uttar Pradesh - Other",,,,,
"[1217] =","Barachakia","Bihar - Other",,,,,
"[1218] =","Baradi","Assam - Other",,,,,
"[1219] =","Baraka","All over India",,,,,
"[1220] =","Baralu","Uttarakhand - Other",,,,,
"[1221] =","Barama","Assam - Other",,,,,
"[1222] =","Baramati","Maharashtra - Other",,,,,
"[1223] =","Baramulla","Jammu & Kashmir - Other",,,,,
"[1224] =","Baran","Rajasthan - Other",,,,,
"[1225] =","Baranghati","Assam - Other",,,,,
"[1226] =","Barapani","Meghalaya - Other",,,,,
"[1227] =","Barauni","Bihar - Other",,,,,
"[1228] =","Baraut","Uttar Pradesh - Other",,,,,
"[1229] =","Barayali","Rajasthan - Other",,,,,
"[1230] =","Barbigha","Bihar - Other",,,,,
"[1231] =","Bardoli","Gujarat - Other",,,,,
"[1232] =","Bargarh","Orissa - Other",,,,,
"[880] =","Bargur","Tamil Nadu - Other",,,,,
"[1233] =","Barh","Bihar - Other",,,,,
"[1234] =","Barharwa","Jharkhand - Other",,,,,
"[1235] =","Barhi","Jharkhand - Other",,,,,
"[1236] =","Barhiya","Bihar - Other",,,,,
"[1237] =","Barhiyar","All over India",,,,,
"[1238] =","Bariyarpur","Bihar - Other",,,,,
"[1239] =","Barkagaon","Jharkhand - Other",,,,,
"[1240] =","Barman","Madhya Pradesh - Other",,,,,
"[1241] =","Barmer","Rajasthan - Other",,,,,
"[10241] =","Baroda","Gujarat - Other",,,,,
"[1242] =","Barpeta","Assam - Other",,,,,
"[1243] =","Barshi","Maharashtra - Other",,,,,
"[1244] =","Baruva","Andhra Pradesh - Other",,,,,
"[1245] =","Basavanagudi","Karnataka - Other",,,,,
"[1246] =","Basna","Chhattisgarh - Other",,,,,
"[1247] =","Basrur","Karnataka - Other",,,,,
"[890] =","Basti","Uttar Pradesh - Other",,,,,
"[1248] =","Basugaon","Assam - Other",,,,,
"[1249] =","Baswakalyan","Karnataka - Other",,,,,
"[1250] =","Batadrava","Meghalaya - Other",,,,,
"[1251] =","Batapara","Chhattisgarh - Other",,,,,
"[1252] =","Baund Kalan","Haryana - Other",,,,,
"[1253] =","Baunsi","Bihar - Other",,,,,
"[1254] =","Bayana","Rajasthan - Other",,,,,
